cat,False,True,total,percent
0,3.0,19.0,22.0,0.8636363636363636
1,48.0,0.0,48.0,0.0
2,95.0,68.0,163.0,0.4171779141104294
3,135.0,11.0,146.0,0.07534246575342465
4,23.0,67.0,90.0,0.7444444444444445
5,2.0,16.0,18.0,0.8888888888888888
6,72.0,0.0,72.0,0.0
7,62.0,9.0,71.0,0.1267605633802817
8,8.0,0.0,8.0,0.0
9,3.0,66.0,69.0,0.9565217391304348
A,4.0,15.0,19.0,0.7894736842105263
B,4.0,14.0,18.0,0.7777777777777778
C,0.0,2.0,2.0,1.0
D,61.0,0.0,61.0,0.0
E,0.0,77.0,77.0,1.0
F,0.0,1.0,1.0,1.0
G,1.0,0.0,1.0,0.0
H,3.0,0.0,3.0,0.0
I,6.0,0.0,6.0,0.0
K,2.0,3.0,5.0,0.6
L,0.0,10.0,10.0,1.0
M,72.0,3.0,75.0,0.04
N,1.0,1.0,2.0,0.5
O,1.0,0.0,1.0,0.0
P,0.0,1.0,1.0,1.0
R,4.0,0.0,4.0,0.0
S,1.0,0.0,1.0,0.0
T,0.0,3.0,3.0,1.0
U,4.0,97.0,101.0,0.9603960396039604
V,2.0,5.0,7.0,0.7142857142857143
X,0.0,1.0,1.0,1.0
Z,0.0,5.0,5.0,1.0
