cat,False,True,total,percent
0,21.0,260.0,281.0,0.9252669039145908
1,107.0,86.0,193.0,0.44559585492227977
2,1.0,134.0,135.0,0.9925925925925926
3,4.0,228.0,232.0,0.9827586206896551
4,3.0,123.0,126.0,0.9761904761904762
5,0.0,56.0,56.0,1.0
6,5.0,41.0,46.0,0.8913043478260869
7,3.0,140.0,143.0,0.9790209790209791
8,3.0,71.0,74.0,0.9594594594594594
9,6.0,94.0,100.0,0.94
A,6.0,80.0,86.0,0.9302325581395349
C,1.0,124.0,125.0,0.992
D,1.0,0.0,1.0,0.0
E,0.0,20.0,20.0,1.0
F,3.0,16.0,19.0,0.8421052631578947
G,0.0,10.0,10.0,1.0
H,5.0,11.0,16.0,0.6875
I,40.0,5.0,45.0,0.1111111111111111
K,2.0,14.0,16.0,0.875
L,1.0,7.0,8.0,0.875
M,0.0,48.0,48.0,1.0
N,21.0,24.0,45.0,0.5333333333333333
O,1.0,1.0,2.0,0.5
P,3.0,18.0,21.0,0.8571428571428571
R,1.0,12.0,13.0,0.9230769230769231
S,0.0,14.0,14.0,1.0
T,0.0,13.0,13.0,1.0
U,10.0,185.0,195.0,0.9487179487179487
X,1.0,63.0,64.0,0.984375
Z,1.0,30.0,31.0,0.967741935483871
