cat,False,True,total,percent
0,2.0,20.0,22.0,0.9090909090909091
1,46.0,2.0,48.0,0.041666666666666664
2,34.0,129.0,163.0,0.7914110429447853
3,37.0,109.0,146.0,0.7465753424657534
4,0.0,90.0,90.0,1.0
5,1.0,17.0,18.0,0.9444444444444444
6,66.0,6.0,72.0,0.08333333333333333
7,59.0,12.0,71.0,0.16901408450704225
8,6.0,2.0,8.0,0.25
9,7.0,62.0,69.0,0.8985507246376812
A,0.0,19.0,19.0,1.0
B,0.0,18.0,18.0,1.0
C,1.0,1.0,2.0,0.5
D,61.0,0.0,61.0,0.0
E,1.0,76.0,77.0,0.987012987012987
F,0.0,1.0,1.0,1.0
G,1.0,0.0,1.0,0.0
H,3.0,0.0,3.0,0.0
I,6.0,0.0,6.0,0.0
K,4.0,1.0,5.0,0.2
L,1.0,9.0,10.0,0.9
M,65.0,10.0,75.0,0.13333333333333333
N,0.0,2.0,2.0,1.0
O,1.0,0.0,1.0,0.0
P,0.0,1.0,1.0,1.0
R,4.0,0.0,4.0,0.0
S,0.0,1.0,1.0,1.0
T,0.0,3.0,3.0,1.0
U,1.0,100.0,101.0,0.9900990099009901
V,1.0,6.0,7.0,0.8571428571428571
X,0.0,1.0,1.0,1.0
Z,0.0,5.0,5.0,1.0
