cat,False,True,total,percent
0,9.0,266.0,275.0,0.9672727272727273
1,50.0,0.0,50.0,0.0
2,0.0,100.0,100.0,1.0
3,36.0,70.0,106.0,0.660377358490566
4,0.0,91.0,91.0,1.0
5,7.0,189.0,196.0,0.9642857142857143
6,1.0,119.0,120.0,0.9916666666666667
7,0.0,87.0,87.0,1.0
8,83.0,6.0,89.0,0.06741573033707865
9,0.0,70.0,70.0,1.0
A,0.0,124.0,124.0,1.0
B,19.0,71.0,90.0,0.7888888888888889
C,39.0,57.0,96.0,0.59375
D,12.0,113.0,125.0,0.904
E,0.0,87.0,87.0,1.0
F,0.0,108.0,108.0,1.0
G,69.0,34.0,103.0,0.3300970873786408
H,68.0,29.0,97.0,0.29896907216494845
J,0.0,94.0,94.0,1.0
K,0.0,100.0,100.0,1.0
L,1.0,98.0,99.0,0.98989898989899
M,21.0,67.0,88.0,0.7613636363636364
N,29.0,90.0,119.0,0.7563025210084033
O,92.0,0.0,92.0,0.0
P,0.0,107.0,107.0,1.0
R,3.0,80.0,83.0,0.963855421686747
S,0.0,70.0,70.0,1.0
T,0.0,76.0,76.0,1.0
U,0.0,91.0,91.0,1.0
V,0.0,113.0,113.0,1.0
W,54.0,29.0,83.0,0.3493975903614458
X,1.0,110.0,111.0,0.990990990990991
Y,90.0,74.0,164.0,0.45121951219512196
Z,3.0,84.0,87.0,0.9655172413793104
