cat,False,True,total,percent
0,27.0,254.0,281.0,0.9039145907473309
1,159.0,34.0,193.0,0.17616580310880828
2,3.0,132.0,135.0,0.9777777777777777
3,3.0,229.0,232.0,0.9870689655172413
4,6.0,120.0,126.0,0.9523809523809523
5,0.0,56.0,56.0,1.0
6,7.0,39.0,46.0,0.8478260869565217
7,6.0,137.0,143.0,0.958041958041958
8,5.0,69.0,74.0,0.9324324324324325
9,1.0,99.0,100.0,0.99
A,1.0,85.0,86.0,0.9883720930232558
C,0.0,125.0,125.0,1.0
D,1.0,0.0,1.0,0.0
E,0.0,20.0,20.0,1.0
F,1.0,18.0,19.0,0.9473684210526315
G,0.0,10.0,10.0,1.0
H,4.0,12.0,16.0,0.75
I,28.0,17.0,45.0,0.37777777777777777
K,0.0,16.0,16.0,1.0
L,0.0,8.0,8.0,1.0
M,0.0,48.0,48.0,1.0
N,0.0,45.0,45.0,1.0
O,2.0,0.0,2.0,0.0
P,2.0,19.0,21.0,0.9047619047619048
R,1.0,12.0,13.0,0.9230769230769231
S,0.0,14.0,14.0,1.0
T,0.0,13.0,13.0,1.0
U,0.0,195.0,195.0,1.0
X,0.0,64.0,64.0,1.0
Z,6.0,25.0,31.0,0.8064516129032258
