cat,False,True,total,percent
0,1.0,274.0,275.0,0.9963636363636363
1,0.0,50.0,50.0,1.0
2,0.0,100.0,100.0,1.0
3,1.0,105.0,106.0,0.9905660377358491
4,1.0,90.0,91.0,0.989010989010989
5,0.0,196.0,196.0,1.0
6,2.0,118.0,120.0,0.9833333333333333
7,0.0,87.0,87.0,1.0
8,0.0,89.0,89.0,1.0
9,0.0,70.0,70.0,1.0
A,0.0,124.0,124.0,1.0
B,0.0,90.0,90.0,1.0
C,32.0,64.0,96.0,0.6666666666666666
D,86.0,39.0,125.0,0.312
E,0.0,87.0,87.0,1.0
F,0.0,108.0,108.0,1.0
G,4.0,99.0,103.0,0.9611650485436893
H,27.0,70.0,97.0,0.7216494845360825
J,0.0,94.0,94.0,1.0
K,3.0,97.0,100.0,0.97
L,0.0,99.0,99.0,1.0
M,0.0,88.0,88.0,1.0
N,83.0,36.0,119.0,0.3025210084033613
O,11.0,81.0,92.0,0.8804347826086957
P,0.0,107.0,107.0,1.0
R,0.0,83.0,83.0,1.0
S,0.0,70.0,70.0,1.0
T,1.0,75.0,76.0,0.9868421052631579
U,1.0,90.0,91.0,0.989010989010989
V,1.0,112.0,113.0,0.9911504424778761
W,44.0,39.0,83.0,0.46987951807228917
X,0.0,111.0,111.0,1.0
Y,4.0,160.0,164.0,0.975609756097561
Z,0.0,87.0,87.0,1.0
