cat,False,True,total,percent
0,20.0,1.0,21.0,0.047619047619047616
1,47.0,1.0,48.0,0.020833333333333332
2,84.0,79.0,163.0,0.48466257668711654
3,104.0,42.0,146.0,0.2876712328767123
4,65.0,23.0,88.0,0.26136363636363635
5,11.0,7.0,18.0,0.3888888888888889
6,71.0,0.0,71.0,0.0
7,69.0,2.0,71.0,0.028169014084507043
8,8.0,0.0,8.0,0.0
9,37.0,32.0,69.0,0.463768115942029
A,11.0,8.0,19.0,0.42105263157894735
B,10.0,8.0,18.0,0.4444444444444444
C,0.0,2.0,2.0,1.0
D,58.0,3.0,61.0,0.04918032786885246
E,19.0,58.0,77.0,0.7532467532467533
F,0.0,1.0,1.0,1.0
G,1.0,0.0,1.0,0.0
H,3.0,0.0,3.0,0.0
I,6.0,0.0,6.0,0.0
K,2.0,3.0,5.0,0.6
L,7.0,3.0,10.0,0.3
M,71.0,4.0,75.0,0.05333333333333334
N,2.0,0.0,2.0,0.0
O,1.0,0.0,1.0,0.0
P,0.0,1.0,1.0,1.0
R,4.0,0.0,4.0,0.0
S,0.0,1.0,1.0,1.0
T,0.0,3.0,3.0,1.0
U,90.0,11.0,101.0,0.10891089108910891
V,7.0,0.0,7.0,0.0
X,1.0,0.0,1.0,0.0
Z,0.0,5.0,5.0,1.0
