cat,False,True,total,percent
0,22.0,0.0,22.0,0.0
1,48.0,0.0,48.0,0.0
2,162.0,1.0,163.0,0.006134969325153374
3,146.0,0.0,146.0,0.0
4,90.0,0.0,90.0,0.0
5,18.0,0.0,18.0,0.0
6,65.0,7.0,72.0,0.09722222222222222
7,71.0,0.0,71.0,0.0
8,8.0,0.0,8.0,0.0
9,69.0,0.0,69.0,0.0
A,17.0,2.0,19.0,0.10526315789473684
B,8.0,10.0,18.0,0.5555555555555556
C,2.0,0.0,2.0,0.0
D,41.0,20.0,61.0,0.32786885245901637
E,22.0,55.0,77.0,0.7142857142857143
F,0.0,1.0,1.0,1.0
G,1.0,0.0,1.0,0.0
H,3.0,0.0,3.0,0.0
I,6.0,0.0,6.0,0.0
K,0.0,5.0,5.0,1.0
L,6.0,4.0,10.0,0.4
M,10.0,65.0,75.0,0.8666666666666667
N,0.0,2.0,2.0,1.0
O,1.0,0.0,1.0,0.0
P,0.0,1.0,1.0,1.0
R,0.0,4.0,4.0,1.0
S,1.0,0.0,1.0,0.0
T,2.0,1.0,3.0,0.3333333333333333
U,74.0,27.0,101.0,0.26732673267326734
V,5.0,2.0,7.0,0.2857142857142857
X,1.0,0.0,1.0,0.0
Z,4.0,1.0,5.0,0.2
